time,lat,lon,salinity,salinity_std,temperature,temperature_std,chl,chl_std,AOD,AOD_std,sla,sla_std,Fe,Fe_std,NO3,NO3_std,PO4,PO4_std,NH4_darwin_clim,NH4_darwin_clim_std,SiO2_darwin_clim,SiO2_darwin_clim_std,density_WOA_clim,density_WOA_clim_std,phosphate_WOA_clim,phosphate_WOA_clim_std
2017-05-26T22:34:53,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
2017-05-26T22:37:53,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
2017-05-26T22:40:53,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
2017-05-26T22:43:54,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
2017-05-26T22:46:54,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
2017-05-26T22:49:54,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
2017-05-26T22:52:54,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
2017-05-26T22:55:54,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
2017-05-26T22:58:55,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
2017-05-26T23:01:55,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
2017-05-26T23:04:55,21.3164,-157.8767,5.0774,6.37200455456792e-08,25.602399999999992,7.209100208458466e-07,0.2674881959999999,0.3584987142888894,0.1225000064999999,0.0124498952338307,0.173125,0.0205501216541409,0.000125131725023,2.95530680221e-05,4.504976539957917e-07,4.819254792279341e-08,0.3325386767587083,0.0021107125743528,1.1535571,0.0676214855444146,-0.025440669,0.001036931490942,23.21290143330892,0.0497412564478719,0.1155245527625083,0.00339215323408
